ID, Item, Description
58,Forestwhisper Amulet , Allows the wearer to communicate with birds for 1 hour.
59,Enchanted Pinecone , Can be thrown to create a zone of entangling roots.
60,Sylvan Arrowhead , Grants temporary understanding of the language of birds.
61,Sylph's Breath Perfume , Grants advantage on Charisma (Persuasion) checks with fey creatures.
62,Nightbloom Flower , Emits a fragrant aroma that repels insects and small creatures.
63,Thornweave Sash , Grants temporary immunity to grapple attempts for 1 minute.
64,Sunseeker's Compass , Always points toward the nearest clearing or open area in the forest.
65,Forestglow Vellum , Illuminates when near hidden traps or creatures.
66,Sylvan Heartstone , Grants advantage on Wisdom (Insight) checks with fey creatures.
67,Spirit Whisperer's Flute , Allows the player to communicate with spirits of the forest.
68,Faerie's Tear , Can be used to cast Cure Light Wounds once per day.
69,Thistleblade ," A small, enchanted dagger that deals extra damage to plant-based creatures."
70,Forest Spirit Totem , Grants temporary protection from natural hazards for 24 hours.
71,Elven Trail Rations , Nutritious and sustaining food for a week.
72,Moss-Covered Boots  ,Grants advantage on checks to move silently in forested areas.
73,Bramblevine Cord , Can be used as a makeshift rope with thorny entangling properties.
74,Starlit Earrings , Allow the wearer to understand the speech of nocturnal creatures.
75,Nature's Blessing Salve , Speeds up the natural healing process when applied to wounds.
76,Shadowmeld Cloak , Allows the wearer to blend seamlessly with their surroundings in dim light.
77,Druid's Guidebook , Contains insights and tips on navigating the forest.
78,Forestglow Crystal , Can be used to cast Light at will.
79,Willowbark Flute , Can be used to soothe or calm agitated forest creatures.
80,Leafwhisper Pouch , Contains herbs with calming and healing properties.
81,Moonshadow Veil , Grants advantage on Dexterity (Stealth) checks at night.
82,Feywild Trinket , Grants temporary immunity to magical charms for 1 hour.
83,Thornsilk Gloves , Protects the wearer's hands from thorns and brambles.
84,Verdant Cider , Restores a small amount of hit points and removes minor ailments.
85,Emberwood Arrow , Deals fire damage when shot from a bow.
86,Moonlit Tincture , Grants the ability to see in dim light for 1 hour.
87,Bramblecloak , Grants temporary protection from natural hazards for 24 hours.
88,Elven Wine , Highly sought after for its exquisite taste and aroma.
89,Faerie's Whisper , Grants the ability to communicate with invisible creatures for 1 minute.
90,Willowroot Elixir , Grants temporary immunity to natural poisons for 1 hour.
91,Sunspark Charm , Grants temporary protection from fire for 1 minute.
92,Shadowleaf Wreath , Grants advantage on Charisma (Deception) checks in dim light.
93,Vinebound Boots , Allows the wearer to walk on water for a short duration.
94,Celestial Herb Pouch , Contains herbs with celestial properties for minor healing.
95,Forest's Embrace Cloak , Grants temporary resistance to cold for 1 hour.
96,Nightshade Salve , Grants temporary immunity to sleep effects for 1 hour.
97,Enchanted Feather Quill , Grants advantage on Intelligence (Arcana) checks for 1 hour.
98,Willowbark Poultice , Restores a moderate amount of hit points when applied to wounds.
99,Emberwood Staff , Can be used to cast Control Flames and Produce Flame once per day.
100,Heartwood Amulet , Grants temporary protection from necrotic damage for 1 hour.
